Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BatchExpertMode_4253,Chrome 90.0.4430.85,,,2021-04-26 17:46:30,2021-04-26 17:47:27,57.062s,PASSED
,,,,,,,
Test Cases/Batch Export Mode/Upload batch expert mode if there is a forecast or not,Chrome 90.0.4430.85,,,2021-04-26 17:46:59,2021-04-26 17:47:27,28.373s,PASSED
"click(findTestObject(""Object Repository/Page_Fsight - UI/input_Date_input-calendar""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:00,2021-04-26 17:47:01,0.944s,PASSED
"click(findTestObject(""Object Repository/Page_Fsight - UI/button_February_Calendar__monthArrowWrapper -left""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:01,2021-04-26 17:47:03,1.145s,PASSED
delay(1),Chrome 90.0.4430.85,,,2021-04-26 17:47:03,2021-04-26 17:47:04,1.009s,PASSED
"click(findTestObject(""Object Repository/Page_Fsight - UI/button_February_Calendar__monthArrowWrapper -left""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:04,2021-04-26 17:47:04,0.577s,PASSED
"click(findTestObject(""Page_Fsight - UI/div_7""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:04,2021-04-26 17:47:05,1.074s,PASSED
"click(findTestObject(""Page_Fsight - UI/div_7""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:05,2021-04-26 17:47:06,1.042s,PASSED
"click(findTestObject(""Page_Fsight - UI/div_MeterMeter""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:06,2021-04-26 17:47:08,1.899s,PASSED
delay(1),Chrome 90.0.4430.85,,,2021-04-26 17:47:08,2021-04-26 17:47:09,1.011s,PASSED
"click(findTestObject(""Page_Fsight - UI/input""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:09,2021-04-26 17:47:10,0.660s,PASSED
"click(findTestObject(""Page_Fsight - UI/div_MeterMeter""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:10,2021-04-26 17:47:11,0.863s,PASSED
delay(1),Chrome 90.0.4430.85,,,2021-04-26 17:47:11,2021-04-26 17:47:12,1.009s,PASSED
"click(findTestObject(""Page_Fsight - UI/BatchExpertMode_Button""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:12,2021-04-26 17:47:13,1.068s,PASSED
"verifyElementVisible(findTestObject(""Page_Fsight - UI/AddTag_Button""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:13,2021-04-26 17:47:13,0.674s,PASSED
delay(1),Chrome 90.0.4430.85,,,2021-04-26 17:47:13,2021-04-26 17:47:14,1.008s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_Fsight - UI/Upload_file""), ""/Users/wamiwamisoftware/Downloads/withoutforecast.csv"")",Chrome 90.0.4430.85,,,2021-04-26 17:47:14,2021-04-26 17:47:15,0.706s,PASSED
delay(2),Chrome 90.0.4430.85,,,2021-04-26 17:47:15,2021-04-26 17:47:17,2.025s,PASSED
"click(findTestObject(""Page_Fsight - UI/ExpertMode_Button_Save""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:17,2021-04-26 17:47:18,0.929s,PASSED
delay(3),Chrome 90.0.4430.85,,,2021-04-26 17:47:18,2021-04-26 17:47:21,3.008s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Upload batch expert mode if there is a forecast or not"")",Chrome 90.0.4430.85,,,2021-04-26 17:47:21,2021-04-26 17:47:25,3.419s,PASSED
"click(findTestObject(""Page_Fsight - UI/BatchExpertMode_Button""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:25,2021-04-26 17:47:25,0.831s,PASSED
"click(findTestObject(""Object Repository/Page_Fsight - UI/span_Delete""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:25,2021-04-26 17:47:26,0.955s,PASSED
"click(findTestObject(""Page_Fsight - UI/ExpertMode_Button_Save""))",Chrome 90.0.4430.85,,,2021-04-26 17:47:26,2021-04-26 17:47:27,0.577s,PASSED
